time,mq2,mq5,mq9,mq135
2020-07-17 14:43:05.326160,283,353,383,404
2020-07-17 14:43:05.326349,283,353,383,404
2020-07-17 14:43:05.326462,283,353,383,404
2020-07-17 14:43:05.326621,283,353,383,403
2020-07-17 14:43:05.326714,283,353,383,404
2020-07-17 14:43:05.326806,283,353,383,404
2020-07-17 14:43:05.326899,283,353,383,404
2020-07-17 14:43:05.326992,283,353,383,404
2020-07-17 14:43:05.327085,283,353,383,404
2020-07-17 14:43:05.327178,283,353,383,404
2020-07-17 14:43:05.327270,283,354,383,404
2020-07-17 14:43:06.866959,283,355,383,405
2020-07-17 14:43:07.067679,284,354,383,404
2020-07-17 14:43:07.268470,283,354,383,404
2020-07-17 14:43:07.469206,283,354,383,404
2020-07-17 14:43:07.673862,283,354,383,404
2020-07-17 14:43:07.874541,283,355,383,405
2020-07-17 14:43:08.075255,284,354,384,404
2020-07-17 14:43:08.276050,283,354,383,404
2020-07-17 14:43:08.476755,283,354,383,404
